pair_key,in_reference,in_dataset,reference_magnitude,dataset_magnitude
immune|nerve|TIMP2|CD44,True,True,0.8558946,0.85809505
immune|nerve|TIMP2|ITGA3,True,True,0.7578962,0.77831143
immune|nerve|TIMP2|ITGB1,True,True,0.789758,0.88965917
immune|nerve|TLN1|ITGB5,True,True,0.6263498,0.743166
immune|nerve|TNFSF10|RIPK1,True,True,0.63225865,0.75905776
immune|nerve|TNFSF13B|TFRC,True,True,0.7423334,0.77439326
immune|nerve|VCAN|CD44,True,True,0.8771395,0.9116604
immune|nerve|VCAN|EGFR,True,True,0.904998,0.8951998
immune|nerve|VCAN|ITGB1,True,True,0.8186877,0.93225056
immune|nerve|VCL|ALK,True,True,0.73179686,0.7110713
immune|nerve|VEGFA|CD44,True,True,0.8811122,0.869526
immune|nerve|VEGFA|EGFR,True,True,0.90816426,0.84653604
immune|nerve|VEGFA|EPHB2,True,True,0.86150664,0.8892093
immune|nerve|VEGFA|GPC1,True,True,0.79249847,0.85308415
immune|nerve|VEGFA|GRIN2B,True,True,0.9016111,0.89666235
immune|nerve|VEGFA|ITGA9,True,True,0.8313866,0.8305306
immune|nerve|VEGFA|ITGAV,True,True,0.87975603,0.8843388
immune|nerve|VEGFA|ITGB1,True,True,0.82417154,0.8988472
immune|nerve|VEGFA|NRP1,True,True,0.8419372,0.7819009
immune|nerve|VEGFA|NRP2,True,True,0.85861784,0.86968005
immune|nerve|VEGFA|SIRPA,True,True,0.81536764,0.82363105
immune|nerve|VEGFA|TYRO3,True,True,0.8267141,0.89353937
immune|nerve|VIM|CD44,True,True,0.87755,0.92621386
immune|nerve|WNT5A|ANTXR1,True,True,0.7450411,0.7461352
immune|nerve|WNT5A|EPHA7,True,True,0.72501886,0.6405393
immune|nerve|WNT5A|FZD3,True,True,0.75414866,0.73186547
immune|nerve|WNT5A|FZD6,True,True,0.70428437,0.66751605
immune|nerve|WNT5A|LDLR,True,True,0.62578607,0.6402399
immune|nerve|WNT5A|LRP2,True,True,0.7698168,0.8340754
immune|nerve|WNT5A|LRP5,True,True,0.64588475,0.6409618
immune|nerve|WNT5A|LRP6,True,True,0.76838547,0.81564546
immune|nerve|WNT5A|MCAM,True,True,0.60119873,0.74896044
immune|nerve|WNT5A|PTK7,True,True,0.6242842,0.605914
immune|nerve|WNT5A|PTPRK,True,True,0.8311228,0.88000137
immune|nerve|WNT5A|ROR1,True,True,0.6802371,0.7272301
immune|nerve|WNT5A|RYK,True,True,0.702641,0.7398253
immune|nerve|YBX1|NOTCH1,True,True,0.7536971,0.8704822
immune|tumor|A2M|LRP1,True,True,0.8484006,0.8936467
immune|tumor|ADAM10|CADM1,True,True,0.8764299,0.859237
immune|tumor|ADAM10|CD44,True,True,0.8193032,0.8311633
immune|tumor|ADAM10|NOTCH1,True,True,0.7413589,0.76499236
immune|tumor|ADAM10|NOTCH2,True,True,0.76931244,0.75437075
immune|tumor|ADAM10|NRCAM,True,True,0.89149565,0.8774003
immune|tumor|ADAM10|TSPAN5,True,True,0.8374821,0.81723994
immune|tumor|ADAM17|ERBB4,True,True,0.85238796,0.82091504
immune|tumor|ADAM17|NOTCH1,True,True,0.72724104,0.76007175
immune|tumor|ADAM9|ITGA3,True,True,0.7339049,0.69479334
immune|tumor|ADAM9|ITGA6,True,True,0.6660604,0.6905243
immune|tumor|ADAM9|ITGAV,True,True,0.83335716,0.82533264
immune|tumor|ADM|CALCRL,True,True,0.6753889,0.73022723
immune|tumor|ADM|RAMP1,True,True,0.68774974,0.85008806
immune|tumor|ALCAM|CHL1,True,True,0.87674075,0.8514448
immune|tumor|ANGPTL4|CDH11,True,True,0.66540396,0.70975906
immune|tumor|ANGPTL4|SDC2,True,True,0.5359523,0.6499564
immune|tumor|ANGPTL4|SDC3,True,True,0.6003414,0.72203547
immune|tumor|ANOS1|FGFR1,True,True,0.7687734,0.71445674
immune|tumor|ANOS1|SDC2,True,True,0.6874392,0.63999945
immune|tumor|ANXA1|EGFR,True,True,0.8689606,0.9369821
immune|tumor|APOE|ABCA1,True,True,0.8588417,0.9268258
immune|tumor|APOE|LRP1,True,True,0.8682049,0.9339037
immune|tumor|APOE|LRP4,True,True,0.7909784,0.9137054
immune|tumor|APOE|LRP6,True,True,0.8499048,0.9136327
immune|tumor|APOE|SCARB1,True,True,0.7567351,0.8766676
immune|tumor|APOE|SDC2,True,True,0.7536121,0.88469523
immune|tumor|APOE|SORL1,True,True,0.83951914,0.90202606
immune|tumor|ARF1|INSR,True,True,0.6817625,0.82729065
immune|tumor|ARF6|SMAP1,True,True,0.6127862,0.841377
immune|tumor|BSG|SLC16A1,True,True,0.53712034,0.81242305
immune|tumor|C1QB|LRP1,True,True,0.80048275,0.92648077
immune|tumor|C3|CD46,True,True,0.80868775,0.8656255
immune|tumor|C3|CD81,True,True,0.796777,0.9152245
immune|tumor|C3|LRP1,True,True,0.87241346,0.905894
immune|tumor|C3|NRP1,True,True,0.8225935,0.8459363
immune|tumor|CALM1|CACNA1C,True,True,0.8349913,0.862692
immune|tumor|CALM1|INSR,True,True,0.79653937,0.8780682
immune|tumor|CALM1|KCNQ5,True,True,0.79985213,0.8539146
immune|tumor|CALM1|PDE1C,True,True,0.825686,0.8629605
immune|tumor|CALM1|PTPRA,True,True,0.8437977,0.9221716
immune|tumor|CALM3|AR,True,True,0.6033425,0.7567932
immune|tumor|CALM3|CACNA1C,True,True,0.68470937,0.79104537
immune|tumor|CALM3|EGFR,True,True,0.77264285,0.9119506
immune|tumor|CALM3|INSR,True,True,0.62688595,0.8127029
immune|tumor|CALM3|KCNQ5,True,True,0.63168377,0.77886206
immune|tumor|CALM3|PDE1C,True,True,0.67027575,0.79142016
immune|tumor|CALR|ITGA3,True,True,0.6378168,0.7840839
immune|tumor|CALR|ITGAV,True,True,0.7615116,0.8828711
immune|tumor|CALR|LRP1,True,True,0.76318043,0.8867736
immune|tumor|CD14|ITGB1,True,True,0.7330704,0.8864964
immune|tumor|CD14|RIPK1,True,True,0.69638205,0.81324136
immune|tumor|CD47|SIRPA,True,True,0.6724674,0.7323508
immune|tumor|CD55|ADGRE5,True,True,0.5504829,0.7489673
immune|tumor|CD99|CD81,True,True,0.70726025,0.90703034
immune|tumor|CD99|CD99L2,True,True,0.7098086,0.8062368
immune|tumor|CXCL8|SDC2,True,True,0.66753685,0.84044826
