source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,source_compartment,target_compartment,compartment_pair,direction,nerve_cluster,immune_subtype,nerve_dominant_sample_fraction,nerve_n_contributing_samples,nerve_normalised_entropy,nerve_batch_qc_pass,immune_dominant_sample_fraction,immune_n_contributing_samples,immune_normalised_entropy,immune_batch_qc_pass,batch_qc_pass
nerve_c2,immune_dendritic,SPP1,ITGA4_ITGB1,1.9273808,0.0,1.2330853,0.3918322008124393,-0.3313563986159118,0.012122558,0.91048294,1.0,0.0334841256744672,nerve,immune,immune-nerve,nerve_to_immune,nerve_c2,dendritic,0.4082,17.0,0.533,True,0.1168,23.0,0.7139,True,True
nerve_c5,immune_microglia,FGF2,SDC2,0.11209363,0.0,0.01160641,0.0436191257411139,0.0365705954385724,0.012410096,0.49667192,0.851327273002171,0.0335181067961547,nerve,immune,immune-nerve,nerve_to_immune,nerve_c5,microglia,0.5076,15.0,0.4523,False,0.0584,28.0,0.8514,True,False
nerve_c7,immune_nk_cell,PSEN1,CD44,1.3668222,0.0,1.7443181,1.4883648069058633,1.4125001548347518,0.016388733,0.92364734,0.0738987813209388,0.0335317899918093,nerve,immune,immune-nerve,nerve_to_immune,nerve_c7,nk_cell,0.17,15.0,0.5776,True,0.1807,21.0,0.6809,True,True
nerve_c17,immune_microglia,HMGB1,TLR2,1.365952,0.0,1.2649107,0.4577895286500274,1.0586108760948676,0.024196882,0.91151595,0.0584463858624115,0.0336033490792601,nerve,immune,immune-nerve,nerve_to_immune,nerve_c17,microglia,0.712,4.0,0.1815,False,0.0584,28.0,0.8514,True,False
nerve_c1,immune_microglia,HMGB1,HAVCR2,1.3647251,0.0,1.6013274,0.3727693821036833,0.8097721959716293,0.020061033,0.9205763,0.086249252051437,0.033794523815508,nerve,immune,immune-nerve,nerve_to_immune,nerve_c1,microglia,0.1941,18.0,0.5886,True,0.0584,28.0,0.8514,True,True
nerve_c10,immune_t_cell,PTN,NCL,1.3646644,0.0,1.7741194,0.3735723371048838,-0.0562213548796041,0.010380819,0.92424256,0.7322805663788788,0.0338184589995078,nerve,immune,immune-nerve,nerve_to_immune,nerve_c10,t_cell,0.8274,7.0,0.1908,False,0.114,24.0,0.7175,True,False
nerve_c16,immune_tam,HLA-A,LILRB1,1.4977598,0.0,1.2282702,0.5237416298169156,0.470155853850188,0.03947757,0.9103233,0.0584463858624115,0.033866353616176,nerve,immune,immune-nerve,nerve_to_immune,nerve_c16,tam,0.2917,16.0,0.4833,True,0.221,21.0,0.6495,True,True
nerve_c10,immune_nk_cell,LGALS1,CD69,1.3643872,0.0,1.7506253,0.5342303077412707,0.3564507665958857,0.025891278,0.92377454,0.0882656103625867,0.033866353616176,nerve,immune,immune-nerve,nerve_to_immune,nerve_c10,nk_cell,0.8274,7.0,0.1908,False,0.1807,21.0,0.6809,True,False
nerve_c13,immune_tam,TF,TFRC,1.4252936,0.0,1.2280456,2.102565206828023,1.7445969429101047,0.014405018,0.9103159,0.0187330297320431,0.0338903130480069,nerve,immune,immune-nerve,nerve_to_immune,nerve_c13,tam,0.3452,18.0,0.5887,True,0.221,21.0,0.6495,True,True
nerve_c18,immune_nk_cell,CALM1,PTPRA,1.6137179,0.0,1.2277429,0.5916343838459497,0.9383550916226552,0.016546328,0.9103058,0.0861269343935897,0.0339142726788245,nerve,immune,immune-nerve,nerve_to_immune,nerve_c18,nk_cell,0.5575,4.0,0.2111,False,0.1807,21.0,0.6809,True,False
