pair_key,in_reference,in_dataset,reference_magnitude,dataset_magnitude
immune|tumor|GNAS|ADORA1,True,True,0.6996423,0.7844035
immune|tumor|GPI|AMFR,True,True,0.6719924,0.734607
immune|tumor|GRN|EGFR,True,True,0.85206604,0.93112487
immune|tumor|GRN|SORT1,True,True,0.7705282,0.86976576
immune|tumor|GRN|TNFRSF1A,True,True,0.6562489,0.8637958
immune|tumor|GSTP1|EGFR,True,True,0.7996264,0.9334197
immune|tumor|HBEGF|CD44,True,True,0.68467516,0.879273
immune|tumor|HBEGF|CD82,True,True,0.52633065,0.8447398
immune|tumor|HBEGF|CD9,True,True,0.52477175,0.9030932
immune|tumor|HGF|SDC2,True,True,0.59500676,0.54527557
immune|tumor|HLA-A|APLP2,True,True,0.8458263,0.93627304
immune|tumor|ICAM1|CAV1,True,True,0.5221247,0.79114556
immune|tumor|ICAM1|EGFR,True,True,0.82474166,0.89640915
immune|tumor|IGF1|IGF1R,True,True,0.7386653,0.7223177
immune|tumor|IGF1|IGF2R,True,True,0.6381915,0.6505222
immune|tumor|IGF1|INSR,True,True,0.6810191,0.6995221
immune|tumor|IGF1|ITGA6_ITGB4,True,True,0.5368331,0.5938732
immune|tumor|IL16|CD9,True,True,0.52992326,0.85275054
immune|tumor|IL16|KCNJ10,True,True,0.49446395,0.6668443
immune|tumor|IL18|IL1RAPL1,True,True,0.8473547,0.8528857
immune|tumor|ITGAV|THY1,True,True,0.7419176,0.8112471
immune|tumor|ITGB2|THY1,True,True,0.62830544,0.8651283
immune|tumor|JAM2|ITGA3_ITGB1,True,True,0.5519071,0.52134144
immune|tumor|JAML|CXADR,True,True,0.61254996,0.8146176
immune|tumor|LGALS1|ITGB1,True,True,0.67622536,0.90561646
immune|tumor|LGALS8|ITGA3,True,True,0.6014993,0.65765417
immune|tumor|LGALS9|CD44,True,True,0.7160426,0.85182726
immune|tumor|LGALS9|CD47,True,True,0.65241563,0.83624
immune|tumor|LGALS9|LRP1,True,True,0.7455868,0.86154854
immune|tumor|LGALS9|MRC2,True,True,0.7031513,0.82034665
immune|tumor|LGALS9|PTPRK,True,True,0.7287644,0.81778073
immune|tumor|LMAN1|MCFD2,True,True,0.52682173,0.7358825
immune|tumor|LPL|LRP1,True,True,0.7297824,0.7878489
immune|tumor|NAMPT|INSR,True,True,0.815673,0.8798264
immune|tumor|NCAM1|PTPRZ1,True,True,0.90228087,0.9112962
immune|tumor|NELL2|ROBO3,True,True,0.5617343,0.5514594
immune|tumor|PDGFB|ADGRV1,True,True,0.6884551,0.753536
immune|tumor|PDGFB|ITGAV,True,True,0.7235859,0.79936403
immune|tumor|PDGFB|LRP1,True,True,0.7254245,0.80803263
immune|tumor|PKM|CD44,True,True,0.80480474,0.8962554
immune|tumor|PLAU|IGF2R,True,True,0.6705658,0.679322
immune|tumor|PLAU|ITGA3,True,True,0.64906394,0.6492864
immune|tumor|PLAU|LRP1,True,True,0.7719267,0.80359685
immune|tumor|PROS1|TYRO3,True,True,0.5036699,0.52571917
immune|tumor|PSAP|AR,True,True,0.8112855,0.84617156
immune|tumor|PSAP|GPR37,True,True,0.73784804,0.82357293
immune|tumor|PSAP|LRP1,True,True,0.8670813,0.91995114
immune|tumor|PSAP|SORT1,True,True,0.8484719,0.89562976
immune|tumor|PSEN1|NCSTN,True,True,0.590114,0.6813331
immune|tumor|PSEN1|NOTCH1,True,True,0.7202294,0.7344112
immune|tumor|PSEN1|NOTCH2,True,True,0.7496956,0.7163789
immune|tumor|PTPN6|EGFR,True,True,0.77916145,0.8960301
immune|tumor|RTN4|LINGO1,True,True,0.67431575,0.8285816
immune|tumor|RTN4|TNFRSF19,True,True,0.78987426,0.8165259
immune|tumor|S100A4|EGFR,True,True,0.8807991,0.9511433
immune|tumor|SEMA4D|PLXNB1,True,True,0.6733468,0.72405434
